model,date,etf,rank,predicted_return,top3_mean_pred,filter_threshold,passes_filter,actual_return,short_pnl_ew,direction_correct
RandomForest,2023-10-27,IYR,5,-0.000205,-0.000205,0.000205,True,0.121299,-0.040433,False
RandomForest,2023-10-27,VOX,5,-0.000205,-0.000205,0.000205,True,0.127495,-0.042498,False
RandomForest,2023-10-27,XLE,11,-0.000357,-0.000205,0.000205,True,0.003545,-0.001182,False
RandomForest,2023-11-24,IYR,6,-0.000154,-1.3e-05,1.3e-05,True,0.116681,-0.038894,False
RandomForest,2023-11-24,VOX,6,-0.000154,-1.3e-05,1.3e-05,True,0.039311,-0.013104,False
RandomForest,2023-11-24,XLB,6,-0.000154,-1.3e-05,1.3e-05,True,0.061856,-0.020619,False
RandomForest,2023-12-29,IYR,8,-0.000106,0.001007,-0.001007,False,-0.039383,0.0,True
RandomForest,2023-12-29,VOX,8,-0.000106,0.001007,-0.001007,False,0.064985,0.0,False
RandomForest,2023-12-29,XLB,8,-0.000106,0.001007,-0.001007,False,-0.035422,0.0,True
RandomForest,2024-01-26,IYR,11,-0.00127,-0.000533,0.000533,True,-0.000456,0.000152,True
RandomForest,2024-01-26,XLB,9,-0.000789,-0.000533,0.000533,True,0.052357,-0.017452,False
RandomForest,2024-01-26,XLP,9,-0.000789,-0.000533,0.000533,True,0.029602,-0.009867,False
RandomForest,2024-02-23,IYR,9,-0.000425,-0.000269,0.000269,True,0.028171,-0.00939,False
RandomForest,2024-02-23,XLB,9,-0.000425,-0.000269,0.000269,True,0.073634,-0.024545,False
RandomForest,2024-02-23,XLE,9,-0.000425,-0.000269,0.000269,True,0.107177,-0.035726,False
RandomForest,2024-03-29,IYR,10,-0.000167,5.6e-05,-5.6e-05,True,-0.074082,0.024694,True
RandomForest,2024-03-29,VOX,5,-0.000116,5.6e-05,-5.6e-05,True,-0.015089,0.00503,True
RandomForest,2024-03-29,XLP,10,-0.000167,5.6e-05,-5.6e-05,True,-0.010084,0.003361,True
RandomForest,2024-04-26,IYR,6,-0.000194,-0.000178,0.000178,True,0.041206,-0.013735,False
RandomForest,2024-04-26,VOX,6,-0.000194,-0.000178,0.000178,True,0.037372,-0.012457,False
RandomForest,2024-04-26,XLE,11,-0.000361,-0.000178,0.000178,True,-0.02653,0.008843,True
RandomForest,2024-05-31,IYR,5,-0.000487,-0.000487,0.000487,True,0.018764,-0.006255,False
RandomForest,2024-05-31,VOX,5,-0.000487,-0.000487,0.000487,True,0.033209,-0.01107,False
RandomForest,2024-05-31,XLU,11,-0.002031,-0.000487,0.000487,True,-0.055426,0.018475,True
RandomForest,2024-06-28,IYR,6,-0.000561,-0.000561,0.000561,True,0.064965,-0.021655,False
RandomForest,2024-06-28,VOX,6,-0.000561,-0.000561,0.000561,True,-0.031983,0.010661,True
RandomForest,2024-06-28,XLB,6,-0.000561,-0.000561,0.000561,True,0.034198,-0.011399,False
RandomForest,2024-07-26,IYR,6,4.3e-05,4.3e-05,-4.3e-05,False,0.065175,0.0,False
RandomForest,2024-07-26,VOX,6,4.3e-05,4.3e-05,-4.3e-05,False,0.040216,0.0,False
RandomForest,2024-07-26,XLB,6,4.3e-05,4.3e-05,-4.3e-05,False,0.0323,0.0,False
RandomForest,2024-08-30,IYR,6,1e-05,1e-05,-1e-05,False,0.023347,0.0,False
RandomForest,2024-08-30,VOX,6,1e-05,1e-05,-1e-05,False,0.045124,0.0,False
RandomForest,2024-08-30,XLB,6,1e-05,1e-05,-1e-05,False,0.03259,0.0,False
RandomForest,2024-09-27,IYR,10,-0.000181,2.1e-05,-2.1e-05,True,-0.009392,0.003131,True
RandomForest,2024-09-27,VOX,5,2.1e-05,2.1e-05,-2.1e-05,False,0.009523,0.0,False
RandomForest,2024-09-27,XLU,11,-0.001115,2.1e-05,-2.1e-05,True,-0.000497,0.000166,True
RandomForest,2024-10-25,IYR,7,-8.2e-05,0.000138,-0.000138,False,0.021058,0.0,False
RandomForest,2024-10-25,VOX,7,-8.2e-05,0.000138,-0.000138,False,0.063162,0.0,False
RandomForest,2024-10-25,XLF,7,-8.2e-05,0.000138,-0.000138,False,0.101008,0.0,False
RandomForest,2024-11-29,IYR,6,-0.000509,-0.000484,0.000484,True,-0.086736,0.028912,True
RandomForest,2024-11-29,VOX,6,-0.000509,-0.000484,0.000484,True,0.014209,-0.004736,False
RandomForest,2024-11-29,XLY,11,-0.002269,-0.000484,0.000484,True,0.035427,-0.011809,False
RandomForest,2024-12-27,IYR,7,-0.001371,-0.001077,0.001077,True,,0.0,
RandomForest,2024-12-27,XLB,7,-0.001371,-0.001077,0.001077,True,,0.0,
RandomForest,2024-12-27,XLY,11,-0.001898,-0.001077,0.001077,True,,0.0,
RegimeRF,2023-01-27,XLB,10,-0.001693,0.002686,-0.002686,False,-0.026499,0.0,True
RegimeRF,2023-01-27,XLP,11,-0.001809,0.002686,-0.002686,False,-0.002059,0.0,True
RegimeRF,2023-01-27,XLU,9,-0.001616,0.002686,-0.002686,False,-0.033096,0.0,True
RegimeRF,2023-02-24,VOX,11,-0.002923,0.001665,-0.001665,True,0.070318,-0.023439,False
RegimeRF,2023-02-24,XLK,10,-0.000811,0.001665,-0.001665,False,0.112083,0.0,False
RegimeRF,2023-02-24,XLY,9,-0.000626,0.001665,-0.001665,False,0.042655,0.0,False
RegimeRF,2023-03-31,IYR,9,-0.000914,0.002234,-0.002234,False,0.009187,0.0,False
RegimeRF,2023-03-31,XLI,11,-0.001702,0.002234,-0.002234,False,-0.011662,0.0,True
RegimeRF,2023-03-31,XLP,10,-0.000957,0.002234,-0.002234,False,0.036541,0.0,False
RegimeRF,2023-04-28,VOX,10,-0.001985,0.003726,-0.003726,False,0.02568,0.0,False
RegimeRF,2023-04-28,XLE,9,-0.001273,0.003726,-0.003726,False,-0.074709,0.0,True
RegimeRF,2023-04-28,XLK,11,-0.002559,0.003726,-0.003726,False,0.092488,0.0,False
RegimeRF,2023-05-26,XLI,10,-0.012038,-0.002548,0.002548,True,0.09568,-0.031893,False
RegimeRF,2023-05-26,XLP,11,-0.01348,-0.002548,0.002548,True,0.017243,-0.005748,False
RegimeRF,2023-05-26,XLV,9,-0.010339,-0.002548,0.002548,True,0.045059,-0.01502,False
RegimeRF,2023-06-30,XLE,9,-0.003384,-0.000879,0.000879,True,0.057657,-0.019219,False
RegimeRF,2023-06-30,XLP,11,-0.004981,-0.000879,0.000879,True,0.026022,-0.008674,False
RegimeRF,2023-06-30,XLV,10,-0.004434,-0.000879,0.000879,True,0.018534,-0.006178,False
RegimeRF,2023-07-28,XLE,11,-0.00269,0.002322,-0.002322,True,0.020268,-0.006756,False
RegimeRF,2023-07-28,XLF,9,-0.000906,0.002322,-0.002322,False,-0.034375,0.0,True
RegimeRF,2023-07-28,XLK,10,-0.000939,0.002322,-0.002322,False,-0.051871,0.0,True
RegimeRF,2023-08-25,XLK,11,-0.003934,-0.001477,0.001477,True,-0.026257,0.008752,True
RegimeRF,2023-08-25,XLU,10,-0.002803,-0.001477,0.001477,True,-0.06636,0.02212,True
RegimeRF,2023-08-25,XLV,9,-0.002461,-0.001477,0.001477,True,-0.031047,0.010349,True
RegimeRF,2023-09-29,IYR,9,-0.001213,0.000933,-0.000933,True,-0.057845,0.019282,True
RegimeRF,2023-09-29,XLP,10,-0.002085,0.000933,-0.000933,True,-0.032408,0.010803,True
RegimeRF,2023-09-29,XLU,11,-0.0047,0.000933,-0.000933,True,-0.003394,0.001131,True
RegimeRF,2023-10-27,IYR,10,-0.001616,0.001969,-0.001969,False,0.121299,0.0,False
RegimeRF,2023-10-27,XLP,11,-0.002993,0.001969,-0.001969,True,0.057525,-0.019175,False
RegimeRF,2023-10-27,XLV,9,-0.001327,0.001969,-0.001969,False,0.064885,0.0,False
RegimeRF,2023-11-24,XLP,11,-0.003933,3.3e-05,-3.3e-05,True,0.030764,-0.010255,False
RegimeRF,2023-11-24,XLU,10,-0.003883,3.3e-05,-3.3e-05,True,0.019726,-0.006575,False
RegimeRF,2023-11-24,XLV,9,-0.003368,3.3e-05,-3.3e-05,True,0.044693,-0.014898,False
RegimeRF,2023-12-29,XLP,10,-0.003125,0.004144,-0.004144,False,0.00833,0.0,False
RegimeRF,2023-12-29,XLU,11,-0.003267,0.004144,-0.004144,False,-0.033476,0.0,True
RegimeRF,2023-12-29,XLV,9,-0.001558,0.004144,-0.004144,False,0.021191,0.0,False
RegimeRF,2024-01-26,IYR,11,-0.008374,-0.000419,0.000419,True,-0.000456,0.000152,True
RegimeRF,2024-01-26,XLE,10,-0.008023,-0.000419,0.000419,True,0.020297,-0.006766,False
RegimeRF,2024-01-26,XLP,9,-0.007281,-0.000419,0.000419,True,0.029602,-0.009867,False
RegimeRF,2024-02-23,XLB,9,1.9e-05,0.002648,-0.002648,False,0.073634,0.0,False
RegimeRF,2024-02-23,XLP,11,-0.000121,0.002648,-0.002648,False,0.028647,0.0,False
RegimeRF,2024-02-23,XLV,10,-0.000102,0.002648,-0.002648,False,0.002729,0.0,False
RegimeRF,2024-03-29,VOX,9,-0.000271,0.001189,-0.001189,False,-0.015089,0.0,True
RegimeRF,2024-03-29,XLB,10,-0.000358,0.001189,-0.001189,False,-0.03628,0.0,True
RegimeRF,2024-03-29,XLF,11,-0.000558,0.001189,-0.001189,False,-0.030864,0.0,True
RegimeRF,2024-04-26,XLK,11,-0.002075,0.001795,-0.001795,True,0.051694,-0.017231,False
RegimeRF,2024-04-26,XLV,9,-0.000743,0.001795,-0.001795,False,0.026722,0.0,False
RegimeRF,2024-04-26,XLY,10,-0.001144,0.001795,-0.001795,False,0.000341,0.0,False
RegimeRF,2024-05-31,VOX,10,-0.001667,-9.6e-05,9.6e-05,True,0.033209,-0.01107,False
RegimeRF,2024-05-31,XLF,11,-0.002247,-9.6e-05,9.6e-05,True,-0.008819,0.00294,True
RegimeRF,2024-05-31,XLI,9,-0.001,-9.6e-05,9.6e-05,True,-0.009889,0.003296,True
RegimeRF,2024-06-28,IYR,11,-0.003422,-0.001672,0.001672,True,0.064965,-0.021655,False
RegimeRF,2024-06-28,VOX,9,-0.00284,-0.001672,0.001672,True,-0.031983,0.010661,True
RegimeRF,2024-06-28,XLP,10,-0.003379,-0.001672,0.001672,True,0.024941,-0.008314,False
